date,ONI,ICEN
1980-02-01,0.404,0.022
1980-03-01,0.196,0.134
1980-04-01,0.049,0.268
1980-05-01,-0.032,0.259
1980-06-01,-0.218,0.062
1980-07-01,-0.358,-0.035
1980-08-01,-0.367,-0.223
1980-09-01,-0.297,-0.272
1980-10-01,-0.192,-0.35
1980-11-01,-0.208,-0.407
1980-12-01,-0.435,-0.759
1981-01-01,-0.769,-1.173
1981-02-01,-0.999,-1.302
1981-03-01,-1.007,-0.988
1981-04-01,-0.859,-0.457
1981-05-01,-0.829,-0.158
1981-06-01,-0.674,-0.069
1981-07-01,-0.617,-0.329
1981-08-01,-0.492,-0.582
1981-09-01,-0.461,-0.765
1981-10-01,-0.377,-0.672
1981-11-01,-0.272,-0.447
1981-12-01,-0.161,-0.278
1982-01-01,-0.091,-0.253
1982-02-01,-0.034,-0.622
1982-03-01,0.151,-0.879
1982-04-01,0.416,-0.812
1982-05-01,0.671,-0.318
1982-06-01,0.765,0.25
1982-07-01,0.942,0.734
1982-08-01,1.216,1.262
1982-09-01,1.697,1.941
1982-10-01,2.168,2.603
1982-11-01,2.583,3.157
1982-12-01,2.8,3.173
1983-01-01,2.636,2.942
1983-02-01,2.217,2.493
1983-03-01,1.584,2.618
1983-04-01,1.125,2.985
1983-05-01,0.716,3.721
1983-06-01,0.307,4.129
1983-07-01,-0.089,4.129
1983-08-01,-0.363,3.219
1983-09-01,-0.506,2.085
1983-10-01,-0.677,1.176
1983-11-01,-0.82,0.744
1983-12-01,-0.757,0.431
1984-01-01,-0.621,0.04
1984-02-01,-0.565,-0.357
1984-03-01,-0.585,-0.547
1984-04-01,-0.599,-0.729
1984-05-01,-0.755,-0.721
1984-06-01,-0.8,-0.728
1984-07-01,-0.752,-0.589
1984-08-01,-0.451,-0.339
1984-09-01,-0.453,-0.341
1984-10-01,-0.7,-0.346
1984-11-01,-0.986,-0.448
1984-12-01,-1.048,-0.602
1985-01-01,-0.924,-0.851
1985-02-01,-0.82,-1.099
1985-03-01,-0.84,-1.211
1985-04-01,-0.855,-1.403
1985-05-01,-0.852,-1.386
1985-06-01,-0.758,-1.303
1985-07-01,-0.596,-1.064
1985-08-01,-0.509,-1.033
1985-09-01,-0.389,-0.925
1985-10-01,-0.386,-0.853
1985-11-01,-0.322,-0.76
1985-12-01,-0.456,-0.622
1986-01-01,-0.596,-0.267
1986-02-01,-0.698,-0.304
1986-03-01,-0.621,-0.552
1986-04-01,-0.522,-0.861
1986-05-01,-0.379,-0.914
1986-06-01,-0.236,-0.679
1986-07-01,0.084,-0.425
1986-08-01,0.361,-0.127
